,TransactionID,Amount,CustomerID,Timestamp,MerchantID,TransactionAmount,MerchantName,Location,Category,FraudIndicator,SuspiciousFlag,Name,Age,Address
0,1,55.53033442986919,1952,01-01-2022 00:00,2701,79.41360746,Merchant 2701,Location 2701,Other,0,0,Customer 1952,50,Address 1952
1,2,12.881180192784145,1027,01-01-2022 01:00,2070,12.05308715,Merchant 2070,Location 2070,Online,0,0,Customer 1027,46,Address 1027
2,3,50.17632151706568,1955,01-01-2022 02:00,2238,33.31035719,Merchant 2238,Location 2238,Travel,0,0,Customer 1955,34,Address 1955
3,4,41.63400105303006,1796,01-01-2022 03:00,2879,46.12111729,Merchant 2879,Location 2879,Travel,0,0,Customer 1796,33,Address 1796
4,5,78.12285326574603,1946,01-01-2022 04:00,2966,54.05161801,Merchant 2966,Location 2966,Other,0,0,Customer 1946,18,Address 1946
5,6,86.94708413376785,1204,01-01-2022 05:00,2757,34.54513807,Merchant 2757,Location 2757,Food,0,0,Customer 1204,45,Address 1204
6,7,51.1470964781812,1311,01-01-2022 06:00,2096,55.38311282,Merchant 2096,Location 2096,Food,0,0,Customer 1311,25,Address 1311
7,8,56.16398430834813,1693,01-01-2022 07:00,2493,17.85587786,Merchant 2493,Location 2493,Travel,0,0,Customer 1693,27,Address 1693
8,9,37.182411723100415,1347,01-01-2022 08:00,2612,75.6599445,Merchant 2612,Location 2612,Retail,1,0,Customer 1347,20,Address 1347
9,10,17.245409041786953,1574,01-01-2022 09:00,2638,67.93187884,Merchant 2638,Location 2638,Other,0,0,Customer 1574,55,Address 1574
10,11,86.18094790838266,1424,01-01-2022 10:00,2007,23.89562271,Merchant 2007,Location 2007,Other,0,0,Customer 1424,37,Address 1424
11,12,95.55400891993546,1302,01-01-2022 11:00,2746,17.79722202,Merchant 2746,Location 2746,Food,0,0,Customer 1302,54,Address 1302
12,13,47.13851441157395,1321,01-01-2022 12:00,2092,64.78165788,Merchant 2092,Location 2092,Other,0,0,Customer 1321,47,Address 1321
13,14,98.80425008117196,1700,01-01-2022 13:00,2892,43.69145948,Merchant 2892,Location 2892,Travel,0,0,Customer 1700,22,Address 1700
14,15,99.83263446243002,1321,01-01-2022 14:00,2849,35.45084414,Merchant 2849,Location 2849,Other,0,0,Customer 1321,47,Address 1321
15,16,20.735039147246727,1463,01-01-2022 15:00,2640,47.62737483,Merchant 2640,Location 2640,Other,0,0,Customer 1463,46,Address 1463
16,17,44.54511885107208,1962,01-01-2022 16:00,2858,83.80043413,Merchant 2858,Location 2858,Other,0,0,Customer 1962,39,Address 1962
17,18,27.05493666999777,1854,01-01-2022 17:00,2479,67.01973545,Merchant 2479,Location 2479,Travel,0,0,Customer 1854,57,Address 1854
18,19,13.615519156393288,1651,01-01-2022 18:00,2470,79.67952921,Merchant 2470,Location 2470,Food,1,0,Customer 1651,58,Address 1651
19,20,20.80228963510888,1715,01-01-2022 19:00,2933,23.12632325,Merchant 2933,Location 2933,Travel,0,0,Customer 1715,57,Address 1715
20,21,36.04360521851923,1724,01-01-2022 20:00,2835,60.70535435,Merchant 2835,Location 2835,Travel,0,0,Customer 1724,32,Address 1724
21,22,99.1004273987159,1117,01-01-2022 21:00,2220,53.84670687,Merchant 2220,Location 2220,Online,0,0,Customer 1117,52,Address 1117
22,23,85.4201781893225,1613,01-01-2022 22:00,2465,15.57953819,Merchant 2465,Location 2465,Travel,0,0,Customer 1613,21,Address 1613
23,24,84.05328458627297,1643,01-01-2022 23:00,2480,13.38677784,Merchant 2480,Location 2480,Retail,0,0,Customer 1643,52,Address 1643
24,25,50.258612452465634,1788,02-01-2022 00:00,2305,98.4640558,Merchant 2305,Location 2305,Travel,0,0,Customer 1788,27,Address 1788
25,26,52.593928648769634,1251,02-01-2022 01:00,2753,95.19370555,Merchant 2753,Location 2753,Other,0,0,Customer 1251,34,Address 1251
26,27,20.48932094343152,1960,02-01-2022 02:00,2301,77.50921965,Merchant 2301,Location 2301,Other,0,0,Customer 1960,34,Address 1960
27,28,12.397442736592344,1187,02-01-2022 03:00,2914,51.7711377,Merchant 2914,Location 2914,Online,0,0,Customer 1187,46,Address 1187
28,29,25.334803493141827,1121,02-01-2022 04:00,2322,73.08040768,Merchant 2322,Location 2322,Other,0,0,Customer 1121,23,Address 1121
29,30,70.07512697850342,1117,02-01-2022 05:00,2932,83.88421813,Merchant 2932,Location 2932,Retail,0,0,Customer 1117,52,Address 1117
30,31,92.6193029775784,1475,02-01-2022 06:00,2951,59.96380461,Merchant 2951,Location 2951,Food,0,0,Customer 1475,25,Address 1475
31,32,77.7269441692719,1993,02-01-2022 07:00,2313,64.82555289,Merchant 2313,Location 2313,Online,0,0,Customer 1993,60,Address 1993
32,33,59.3509900357369,1030,02-01-2022 08:00,2693,16.31638922,Merchant 2693,Location 2693,Other,0,0,Customer 1030,54,Address 1030
33,34,61.34763595275774,1116,02-01-2022 09:00,2686,74.89233385,Merchant 2686,Location 2686,Retail,0,0,Customer 1116,22,Address 1116
34,35,60.47401632791208,1676,02-01-2022 10:00,2173,63.48108384,Merchant 2173,Location 2173,Online,0,0,Customer 1676,38,Address 1676
35,36,42.20773347952953,1547,02-01-2022 11:00,2674,55.07489447,Merchant 2674,Location 2674,Retail,0,0,Customer 1547,31,Address 1547
36,37,71.26856791663724,1527,02-01-2022 12:00,2832,15.8558897,Merchant 2832,Location 2832,Food,0,0,Customer 1527,59,Address 1527
